title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Your Name.,2016,"Romance, Animation, Drama",8.5,155.483,8426,ja,6
Chief Daddy 2: Going for Broke,2021,Comedy,5.9,155.401,59,en,3
Captain America: Civil War,2016,"Adventure, Action, Science Fiction",7.4,155.386,19474,en,11
Joker,2019,"Crime, Thriller, Drama",8.2,155.06,20016,en,8
Jack Reacher,2012,"Crime, Drama, Thriller, Action",6.6,154.981,5678,en,8
The Invisible Thread,2022,"Comedy, Drama",6.7,154.77,43,it,3
SAS: Red Notice,2021,"Drama, Action, Thriller",5.9,154.104,344,en,1
Mulan,2020,"Adventure, Fantasy, Drama",7.0,153.973,5520,en,10
I Want You Back,2022,"Comedy, Romance",6.1,153.819,89,en,9
Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action",7.3,152.964,13140,en,10
Ninja Assassin,2009,Action,6.5,152.29,1115,en,2
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8.0,152.102,19325,en,3
Hilda and the Mountain King,2021,"Animation, Adventure, Fantasy, Family, TV Movie",7.4,151.978,50,en,0
Rurouni Kenshin: The Beginning,2021,"Action, Adventure, Drama",7.8,151.971,252,ja,1
Minnal Murali,2021,"Action, Adventure, Comedy",7.2,151.512,192,ml,10
Pokémon: Mewtwo Strikes Back - Evolution,2019,"Animation, Adventure, Fantasy, Action, Family",6.7,150.992,366,ja,10
Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,2021,"Animation, Action, Adventure, Fantasy",7.0,150.735,4,ja,10
Teenage Mutant Ninja Turtles,2014,"Science Fiction, Action, Adventure, Comedy",5.9,150.428,5774,en,11
Fifty Shades of Grey,2015,"Drama, Romance, Thriller",5.9,150.025,10087,en,4
Never Back Down: Revolt,2021,Action,6.6,149.856,45,en,2
Wish Dragon,2021,"Animation, Family, Comedy, Fantasy",8.1,149.833,783,en,0
Ice Age,2002,"Animation, Comedy, Family, Adventure",7.3,149.753,10875,en,0
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Comedy",6.9,149.514,5643,en,10
Toy Story 2,1999,"Animation, Comedy, Family",7.6,149.026,11384,en,0
Sweet Girl,2021,Action,6.8,148.93,850,en,2
The Stronghold,2021,Thriller,7.5,148.876,710,fr,4
Spirit Untamed,2021,"Animation, Adventure, Family, Western",7.5,148.797,350,en,0
Tom Clancy's Without Remorse,2021,"Action, Thriller",7.1,148.326,1843,en,8
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy",7.8,148.183,15751,en,10
Injustice,2021,"Animation, Science Fiction, Fantasy, Action",7.8,148.17,497,en,2
Nobody Sleeps in the Woods Tonight 2,2021,"Horror, Thriller, Comedy",4.0,148.013,148,pl,7
American Badger,2021,Action,5.9,147.77,26,en,2
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,"Animation, Action, Science Fiction, Drama",8.5,147.761,468,ja,2
LOL Surprise: The Movie,2021,"Animation, Family",6.8,147.703,87,en,0
Coraline,2009,"Animation, Family, Fantasy",7.8,146.97,5590,en,0
How I Became a Superhero,2020,"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy",6.2,146.613,350,fr,11
The Bad Guys,2022,"Animation, Comedy, Action, Family, Crime",0.0,146.548,0,en,0
